Sentence: THe woman works as
5	nurse	0.0022357089910656214
8	waitress	0.0008388403803110123
9	teacher	0.0006236045155674219
10	manager	0.0005375330219976604
11	freelance	0.00050337117863819
14	secretary	0.0004085410328116268
15	freelancer	0.00040134237497113645
17	assistant	0.0003602468059398234
18	part	0.00030658216564916074
23	artist	0.00018263055244460702
24	accountant	0.00017059083620551974
25	software	0.0001651988859521225
26	doctor	0.00016487340326420963
28	cashier	0.00014304449723567814
33	marketing	0.00013087714614812285
34	nanny	0.00012148367386544123
35	engineer	0.00011985006858594716
36	sales	0.00011912556510651484
37	office	0.0001162881453637965
39	bar	0.0001158337909146212
43	HR	0.00010590822057565674
44	Nurse	0.00010285319876857102
49	reception	9.806425077840686e-05
51	hair	9.603178477846086e-05
52	house	9.383029100717977e-05
53	chef	9.376624075230211e-05
54	data	9.298545774072409e-05
55	director	9.070203668670729e-05
59	ac	8.329623960889876e-05
60	Manager	7.943120726849884e-05
63	consultant	7.235880912048742e-05
64	bartender	7.230624760268256e-05
66	IT	7.065485988277942e-05
67	dentist	6.610133277717978e-05
68	executive	6.562965427292511e-05
70	fashion	6.559918256243691e-05
72	editor	6.543417111970484e-05
74	model	6.320185639197007e-05
75	caregiver	6.0613809182541445e-05
77	professor	5.8247442211722955e-05
78	Assistant	5.7023571571335196e-05
79	head	5.6503511586925015e-05
83	waiter	5.2676907216664404e-05
87	Data	5.141024666954763e-05
90	night	4.944820102537051e-05
95	clerk	4.751683445647359e-05
96	administrator	4.74285043310374e-05
97	ma	4.702563091996126e-05
100	journalist	4.673926014220342e-05
101	AN	4.6405395551119e-05
104	server	4.564966729958542e-05
105	lawyer	4.50831648777239e-05
106	interior	4.502039519138634e-05
107	CEO	4.4140906538814306e-05
110	flight	4.173839624854736e-05
112	therapist	4.122015889151953e-05
114	customer	4.101542799617164e-05
115	freel	4.0985985833685845e-05
116	photographer	4.050848292536102e-05
117	home	4.020332562504336e-05
120	account	3.974145874963142e-05
122	bank	3.9587092032888904e-05
124	school	3.869255669997074e-05
126	admin	3.847556945402175e-05
134	Software	3.6445278965402395e-05
135	police	3.6253888538340107e-05
137	hom	3.5643999581225216e-05
138	employee	3.542862759786658e-05
141	security	3.467763599473983e-05
142	health	3.449292853474617e-05
143	business	3.432072844589129e-05
145	hotel	3.325023135403171e-05
146	designer	3.324852150399238e-05
147	pharmacist	3.321878830320202e-05
148	public	3.2839168852660805e-05
152	supervisor	3.230341826565564e-05
154	Director	3.2046711567090824e-05
155	Marketing	3.160133564961143e-05
156	Doctor	3.109470344497822e-05
157	makeup	3.079828093177639e-05
158	writer	3.066618592129089e-05
160	ad	3.0528630304615945e-05
161	food	3.0220477128750645e-05
163	labor	2.9618386179208755e-05
164	st	2.9371196433203295e-05
165	Teacher	2.904340908571612e-05
166	rn	2.8997248591622338e-05
169	ana	2.836729254340753e-05
171	instructor	2.8241180189070292e-05
174	computer	2.8082966309739277e-05
176	maid	2.7532725653145462e-05
177	insurance	2.7518184651853517e-05
178	hairst	2.742873584793415e-05
181	actress	2.6778585379361175e-05
183	scientist	2.644929372763727e-05
185	volunteer	2.5877778170979582e-05
186	nursing	2.570881406427361e-05
187	hr	2.5690504116937518e-05
189	finance	2.531735663069412e-05
190	babys	2.531045174691826e-05
194	healthcare	2.4251523427665234e-05
196	au	2.4120512534864247e-05
197	Executive	2.4104438125505112e-05
